Name: Osterfeldstraße, Instruction: Head northwest on Osterfeldstraße, Distance: 587.4 meters, Time: 422.9 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 195.4 meters, Time: 140.7 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 116.4 meters, Time: 83.8 seconds
Name: Eschenstraße, Instruction: Turn right onto Eschenstraße, Distance: 5.0 meters, Time: 3.6 seconds
Name: Eschenstraße, Instruction: Turn left onto Eschenstraße, Distance: 28.0 meters, Time: 20.2 seconds
Name: Leuchtenbergstraße, Instruction: Continue straight onto Leuchtenbergstraße, Distance: 314.3 meters, Time: 226.3 seconds
Name: -, Instruction: Turn left, Distance: 83.4 meters, Time: 60.1 seconds
Name: Lindenstraße, Instruction: Turn left onto Lindenstraße, Distance: 169.4 meters, Time: 121.9 seconds
Name: -, Instruction: Turn left, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
