Name: グリーンロード, Instruction: Head northwest on グリーンロード, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Continue straight, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn slight left, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 573.6 meters, Time: 413.0 seconds
Name: -, Instruction: Turn left, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn right, Distance: 65.2 meters, Time: 46.9 seconds
Name: -, Instruction: Keep left, Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn slight right, Distance: 232.3 meters, Time: 167.2 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 243.6 meters, Time: 175.4 seconds
Name: -, Instruction: Turn slight right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn slight right, Distance: 75.9 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 29.0 seconds
Name: トキワ通り, Instruction: Turn left onto トキワ通り, Distance: 6.2 meters, Time: 4.5 seconds
Name: 西一番街中央通り, Instruction: Turn right onto 西一番街中央通り, Distance: 153.5 meters, Time: 110.5 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
