Name: Baierbrunner Straße, Instruction: Head south on Baierbrunner Straße, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 698.7 meters, Time: 503.0 seconds
Name: -, Instruction: Turn right, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 1073.4 meters, Time: 772.8 seconds
Name: -, Instruction: Keep right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn slight left, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn slight right, Distance: 145.9 meters, Time: 105.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
