Name: Rue Sedaine, Instruction: Head east on Rue Sedaine, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.5 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Daval, Instruction: Turn left onto Rue Daval, Distance: 111.7 meters, Time: 80.4 seconds
Name: Rue de Lappe, Instruction: Turn slight left onto Rue de Lappe, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 287.6 meters, Time: 207.0 seconds
Name: Cour du Panier Fleuri, Instruction: Turn right onto Cour du Panier Fleuri, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue de Charonne, Instruction: Turn left onto Rue de Charonne, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 104.7 meters, Time: 75.4 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn slight left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Keep right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Keep right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 141.9 meters, Time: 102.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
