Name: Burndale Terrace, Instruction: Head east on Burndale Terrace, Distance: 77.7 meters, Time: 56.0 seconds
Name: Gainsborough Street, Instruction: Turn right onto Gainsborough Street, Distance: 152.7 meters, Time: 110.0 seconds
Name: Heybridge Street, Instruction: Turn left onto Heybridge Street, Distance: 307.4 meters, Time: 221.4 seconds
Name: -, Instruction: Turn right, Distance: 88.0 meters, Time: 63.3 seconds
Name: Wordsworth Road, Instruction: Turn right onto Wordsworth Road, Distance: 115.4 meters, Time: 83.1 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep left, Distance: 57.6 meters, Time: 41.5 seconds
Name: Weymouth Road, Instruction: Turn slight left onto Weymouth Road, Distance: 143.4 meters, Time: 103.3 seconds
Name: Kirton Crescent, Instruction: Turn right onto Kirton Crescent, Distance: 90.8 meters, Time: 65.3 seconds
Name: Kirton Crescent, Instruction: Turn left onto Kirton Crescent, Distance: 211.6 meters, Time: 152.3 seconds
Name: Morrin Street, Instruction: Turn left onto Morrin Street, Distance: 84.5 meters, Time: 60.9 seconds
Name: Morrin Street, Instruction: Enter the roundabout and take the 1st exit onto Morrin Street, Distance: 109.3 meters, Time: 78.7 seconds
Name: Coxhead Road, Instruction: Turn right onto Coxhead Road, Distance: 118.8 meters, Time: 85.5 seconds
Name: Kita Road, Instruction: Turn left onto Kita Road, Distance: 135.3 meters, Time: 97.4 seconds
Name: Buller Crescent, Instruction: Turn left onto Buller Crescent, Distance: 282.7 meters, Time: 203.6 seconds
Name: Bowater Place, Instruction: Enter the roundabout and take the 1st exit onto Bowater Place, Distance: 99.5 meters, Time: 71.7 seconds
Name: Hutt Road, Instruction: Turn left onto Hutt Road, Distance: 121.6 meters, Time: 87.5 seconds
Name: Churchill Avenue, Instruction: Enter the roundabout and take the 1st exit onto Churchill Avenue, Distance: 266.0 meters, Time: 191.5 seconds
Name: Weymouth Road, Instruction: Turn right onto Weymouth Road, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Keep left, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Continue straight, Distance: 170.5 meters, Time: 122.7 seconds
Name: -, Instruction: Continue straight, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
