Name: Finsbury Pavement, A501, Instruction: Head north on Finsbury Pavement, A501, Distance: 32.5 meters, Time: 23.4 seconds
Name: Lackington Street, Instruction: Turn right onto Lackington Street, Distance: 129.8 meters, Time: 93.4 seconds
Name: Wilson Street, Instruction: Turn left onto Wilson Street, Distance: 35.5 meters, Time: 25.6 seconds
Name: Whitecross Place, Instruction: Turn right onto Whitecross Place, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Keep left, Distance: 41.0 meters, Time: 29.5 seconds
Name: Broadgate, Instruction: Turn right onto Broadgate, Distance: 32.7 meters, Time: 23.5 seconds
Name: Broadgate, Instruction: Turn left onto Broadgate, Distance: 27.7 meters, Time: 19.9 seconds
Name: Broadgate, Instruction: Turn right onto Broadgate, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: Sun Street Passage, Instruction: Turn right onto Sun Street Passage, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
