Name: Trethewey Drive, Instruction: Head east on Trethewey Drive, Distance: 233.4 meters, Time: 168.1 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 105.9 meters, Time: 76.2 seconds
Name: -, Instruction: Keep left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Keep left, Distance: 189.8 meters, Time: 136.7 seconds
Name: -, Instruction: Keep right, Distance: 149.8 meters, Time: 107.8 seconds
Name: -, Instruction: Keep right, Distance: 337.3 meters, Time: 242.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 129.5 meters, Time: 93.2 seconds
Name: Irving Road, Instruction: Turn left onto Irving Road, Distance: 221.6 meters, Time: 159.5 seconds
Name: Keele Street, Instruction: Turn right onto Keele Street, Distance: 28.8 meters, Time: 20.8 seconds
Name: Lonborough Avenue, Instruction: Turn left onto Lonborough Avenue, Distance: 173.8 meters, Time: 125.2 seconds
Name: Richardson Avenue, Instruction: Turn right onto Richardson Avenue, Distance: 89.0 meters, Time: 64.1 seconds
Name: Yore Road, Instruction: Turn left onto Yore Road, Distance: 361.3 meters, Time: 260.1 seconds
Name: Gabian Way, Instruction: Turn right onto Gabian Way, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Keep right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Keep left, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
