Name: Van Reenen Street, Instruction: Head south on Van Reenen Street, Distance: 23.1 meters, Time: 16.6 seconds
Name: Merriman Road, Instruction: Turn right onto Merriman Road, Distance: 150.6 meters, Time: 108.4 seconds
Name: Victoria Street, Instruction: Turn left onto Victoria Street, Distance: 169.9 meters, Time: 122.3 seconds
Name: Dingle Road, Instruction: Turn right onto Dingle Road, Distance: 346.9 meters, Time: 249.7 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.8 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Hugo Street, Instruction: Turn left onto Hugo Street, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 824.5 meters, Time: 593.6 seconds
Name: -, Instruction: Turn left, Distance: 58.0 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight left, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: Cone Crescent, Instruction: Turn left onto Cone Crescent, Distance: 257.6 meters, Time: 185.4 seconds
Name: -, Instruction: Turn left, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Keep right, Distance: 75.5 meters, Time: 54.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
