Name: Freya Street, Instruction: Head southwest on Freya Street, Distance: 54.0 meters, Time: 38.9 seconds
Name: Siandra Drive, Instruction: Enter the roundabout and take the 1st exit onto Siandra Drive, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 260.3 meters, Time: 187.4 seconds
Name: Box Road, Instruction: Turn right onto Box Road, Distance: 46.8 meters, Time: 33.7 seconds
Name: Bandain Avenue, Instruction: Turn left onto Bandain Avenue, Distance: 291.2 meters, Time: 209.6 seconds
Name: Bandain Avenue, Instruction: Turn left onto Bandain Avenue, Distance: 224.4 meters, Time: 161.5 seconds
Name: Alpita Street, Instruction: Turn right onto Alpita Street, Distance: 111.8 meters, Time: 80.5 seconds
Name: Garnet Road, Instruction: Turn left onto Garnet Road, Distance: 249.3 meters, Time: 179.5 seconds
Name: -, Instruction: Turn left, Distance: 432.5 meters, Time: 311.4 seconds
Name: -, Instruction: Keep left, Distance: 244.0 meters, Time: 175.7 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
