Name: East Prentice Circle, Instruction: Head southwest on East Prentice Circle, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Turn right, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight right, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn left, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn slight right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight left, Distance: 328.5 meters, Time: 236.5 seconds
Name: -, Instruction: Turn right, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Keep left, Distance: 108.7 meters, Time: 78.3 seconds
Name: East Whitaker Drive, Instruction: Turn right onto East Whitaker Drive, Distance: 50.2 meters, Time: 36.1 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
