Name: Rue Guersant, Instruction: Head southeast on Rue Guersant, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 40.2 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: Rue Brunel, Instruction: Turn left onto Rue Brunel, Distance: 149.7 meters, Time: 107.8 seconds
Name: Rue Denis Poisson, Instruction: Enter the roundabout and take the 4th exit onto Rue Denis Poisson, Distance: 255.8 meters, Time: 184.2 seconds
Name: Rue Duret, Instruction: Keep right onto Rue Duret, Distance: 342.8 meters, Time: 246.8 seconds
Name: Avenue Foch, Instruction: Turn slight right onto Avenue Foch, Distance: 19.9 meters, Time: 14.3 seconds
Name: Sortie Parking Étoile - Foch, Instruction: Turn sharp left onto Sortie Parking Étoile - Foch, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Keep right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 229.2 meters, Time: 165.0 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 75.7 meters, Time: 54.5 seconds
Name: Rue Mesnil, Instruction: Turn right onto Rue Mesnil, Distance: 261.4 meters, Time: 188.2 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue Decamps, Instruction: Turn right onto Rue Decamps, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
