Name: Marsstraße, Instruction: Head northeast on Marsstraße, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Continue straight, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 167.0 meters, Time: 120.3 seconds
Name: Spatenstraße, Instruction: Turn right onto Spatenstraße, Distance: 169.9 meters, Time: 122.3 seconds
Name: Spatenstraße, Instruction: Turn right onto Spatenstraße, Distance: 35.9 meters, Time: 25.8 seconds
Name: Karlstraße, Instruction: Turn sharp left onto Karlstraße, Distance: 8.6 meters, Time: 6.2 seconds
Name: Karlstraße, Instruction: Keep right onto Karlstraße, Distance: 40.1 meters, Time: 28.8 seconds
Name: Pappenheimstraße, Instruction: Turn right onto Pappenheimstraße, Distance: 306.3 meters, Time: 220.5 seconds
Name: -, Instruction: Turn left, Distance: 392.3 meters, Time: 282.5 seconds
Name: -, Instruction: Turn left, Distance: 193.8 meters, Time: 139.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
