Name: Hampden Street, Instruction: Head southeast on Hampden Street, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn slight left, Distance: 13.5 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.2 seconds
Name: Harris Street, Instruction: Turn left onto Harris Street, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.3 seconds
Name: Quarry Street, Instruction: Turn slight right onto Quarry Street, Distance: 58.7 meters, Time: 42.2 seconds
Name: Jersey Road, Instruction: Turn left onto Jersey Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Holdsworth Street, Instruction: Turn sharp right onto Holdsworth Street, Distance: 388.6 meters, Time: 279.8 seconds
Name: -, Instruction: Turn left, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 243.9 meters, Time: 175.6 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 429.2 meters, Time: 309.0 seconds
Name: -, Instruction: Turn left, Distance: 224.1 meters, Time: 161.4 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 222.2 meters, Time: 160.0 seconds
Name: -, Instruction: Turn left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 162.4 meters, Time: 117.0 seconds
Name: Waverley Street, Instruction: Turn sharp right onto Waverley Street, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Arrive at Waverley Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
