Name: Rees Street, Instruction: Head south on Rees Street, Distance: 0.1 meters, Time: 0.1 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 308.9 meters, Time: 222.4 seconds
Name: -, Instruction: Turn left, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Turn right, Distance: 200.4 meters, Time: 144.3 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn slight right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 113.4 meters, Time: 81.7 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 354.5 meters, Time: 255.2 seconds
Name: -, Instruction: Turn left, Distance: 268.3 meters, Time: 193.2 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 556.7 meters, Time: 400.8 seconds
Name: -, Instruction: Turn right, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 83.8 meters, Time: 60.4 seconds
Name: -, Instruction: Turn right, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
