Name: Rue Montrosier, Instruction: Head northeast on Rue Montrosier, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 404.5 meters, Time: 291.3 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Avenue de la Grande Armée, Instruction: Turn left onto Avenue de la Grande Armée, Distance: 292.5 meters, Time: 210.6 seconds
Name: Avenue de la Grande Armée, Instruction: Continue straight onto Avenue de la Grande Armée, Distance: 18.4 meters, Time: 13.2 seconds
Name: Avenue de la Grande Armée, Instruction: Turn slight left onto Avenue de la Grande Armée, Distance: 36.6 meters, Time: 26.3 seconds
Name: Avenue de la Grande Armée, Instruction: Turn right onto Avenue de la Grande Armée, Distance: 198.5 meters, Time: 142.9 seconds
Name: Rue Rude, Instruction: Turn right onto Rue Rude, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 97.9 meters, Time: 70.5 seconds
Name: Rue de Presbourg, Instruction: Turn right onto Rue de Presbourg, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
