Name: Rue Renon, Instruction: Head south on Rue Renon, Distance: 279.5 meters, Time: 201.3 seconds
Name: Avenue Aubert, Instruction: Turn right onto Avenue Aubert, Distance: 220.4 meters, Time: 158.7 seconds
Name: Allée Alice Guy-Blaché, Instruction: Turn left onto Allée Alice Guy-Blaché, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 322.0 meters, Time: 231.9 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Keep left, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Keep right, Distance: 151.1 meters, Time: 108.8 seconds
Name: Route Lemoine, Instruction: Turn right onto Route Lemoine, Distance: 117.2 meters, Time: 84.3 seconds
Name: -, Instruction: Keep right, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn slight left, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn slight left, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn left, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Rue Jeanne d'Arc, Instruction: Turn left onto Rue Jeanne d'Arc, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Arrive at Rue Jeanne d'Arc, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
