Name: Bathurst Street, Instruction: Head north on Bathurst Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 281.7 meters, Time: 202.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 60.9 meters, Time: 43.9 seconds
Name: Deborah Brown Lane, Instruction: Turn right onto Deborah Brown Lane, Distance: 4.2 meters, Time: 3.0 seconds
Name: Barton Avenue, Instruction: Turn left onto Barton Avenue, Distance: 459.6 meters, Time: 330.9 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn right, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
