Name: Mariahilfplatz, Instruction: Head northwest on Mariahilfplatz, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 334.3 meters, Time: 240.7 seconds
Name: Ohlmüllerstraße, Instruction: Turn left onto Ohlmüllerstraße, Distance: 546.0 meters, Time: 393.1 seconds
Name: Edelweißstraße, Instruction: Turn right onto Edelweißstraße, Distance: 148.0 meters, Time: 106.6 seconds
Name: Edelweißstraße, Instruction: Keep left onto Edelweißstraße, Distance: 59.9 meters, Time: 43.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight left, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 272.2 meters, Time: 196.0 seconds
Name: Deisenhofener Straße, Instruction: Turn left onto Deisenhofener Straße, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Keep left, Distance: 10.9 meters, Time: 7.9 seconds
Name: Silberhornstraße, Instruction: Turn slight right onto Silberhornstraße, Distance: 18.8 meters, Time: 13.6 seconds
Name: Tegernseer Landstraße, Instruction: Turn sharp left onto Tegernseer Landstraße, Distance: 308.7 meters, Time: 222.2 seconds
Name: Martin-Luther-Straße, Instruction: Turn left onto Martin-Luther-Straße, Distance: 34.9 meters, Time: 25.1 seconds
Name: Tegernseer Landstraße, Instruction: Turn slight right onto Tegernseer Landstraße, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
