Name: Boulevard Frank Kupka, Instruction: Head west on Boulevard Frank Kupka, Distance: 197.6 meters, Time: 142.3 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 62.3 meters, Time: 44.9 seconds
Name: Rue Hoche, Instruction: Turn slight left onto Rue Hoche, Distance: 36.3 meters, Time: 26.1 seconds
Name: Rue Hoche, Instruction: Turn slight right onto Rue Hoche, Distance: 138.0 meters, Time: 99.3 seconds
Name: Rue Hoche, Instruction: Keep left onto Rue Hoche, Distance: 45.5 meters, Time: 32.7 seconds
Name: Passerelle du Couchant, Instruction: Turn sharp right onto Passerelle du Couchant, Distance: 104.8 meters, Time: 75.5 seconds
Name: Passerelle du Couchant, Instruction: Turn left onto Passerelle du Couchant, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 373.5 meters, Time: 268.9 seconds
Name: Axe de La Défense, Instruction: Turn right onto Axe de La Défense, Distance: 218.2 meters, Time: 157.1 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Keep left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
