Name: Ridout Road, Instruction: Head west on Ridout Road, Distance: 548.8 meters, Time: 395.1 seconds
Name: -, Instruction: Turn right, Distance: 216.8 meters, Time: 156.1 seconds
Name: -, Instruction: Turn slight left, Distance: 44.1 meters, Time: 31.8 seconds
Name: Margaret Drive, Instruction: Turn left onto Margaret Drive, Distance: 59.3 meters, Time: 42.7 seconds
Name: Margaret Drive, Instruction: Turn right onto Margaret Drive, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 356.0 meters, Time: 256.3 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn slight right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Keep right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 238.8 meters, Time: 171.9 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 113.1 meters, Time: 81.4 seconds
Name: -, Instruction: Turn right, Distance: 151.7 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 101.6 meters, Time: 73.2 seconds
Name: -, Instruction: Continue straight, Distance: 86.2 meters, Time: 62.1 seconds
Name: Strathmore Avenue, Instruction: Turn left onto Strathmore Avenue, Distance: 139.5 meters, Time: 100.4 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
