Name: Carlyle Lane, Instruction: Head southeast on Carlyle Lane, Distance: 89.6 meters, Time: 64.5 seconds
Name: Carlyle Street, Instruction: Turn left onto Carlyle Street, Distance: 146.2 meters, Time: 105.2 seconds
Name: -, Instruction: Turn right, Distance: 114.5 meters, Time: 82.5 seconds
Name: -, Instruction: Turn left, Distance: 224.3 meters, Time: 161.5 seconds
Name: Pacific Highway, Instruction: Turn slight right onto Pacific Highway, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn slight right, Distance: 520.9 meters, Time: 375.1 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 617.7 meters, Time: 444.7 seconds
Name: -, Instruction: Continue straight, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 242.7 meters, Time: 174.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
