Name: Calle Magnolia, Instruction: Head northeast on Calle Magnolia, Distance: 39.0 meters, Time: 28.1 seconds
Name: Calle Guadalupe, Instruction: Turn left onto Calle Guadalupe, Distance: 10.9 meters, Time: 7.9 seconds
Name: Calle Guadalupe, Instruction: Continue straight onto Calle Guadalupe, Distance: 94.9 meters, Time: 68.3 seconds
Name: Calle Palma, Instruction: Continue straight onto Calle Palma, Distance: 307.5 meters, Time: 221.4 seconds
Name: Calle Palma, Instruction: Continue straight onto Calle Palma, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: Calle Cedros, Instruction: Turn left onto Calle Cedros, Distance: 134.6 meters, Time: 96.9 seconds
Name: Calle Cedros, Instruction: Keep right onto Calle Cedros, Distance: 66.9 meters, Time: 48.1 seconds
Name: Calle Cedros, Instruction: Keep left onto Calle Cedros, Distance: 17.3 meters, Time: 12.5 seconds
Name: Calle Cedros, Instruction: Keep left onto Calle Cedros, Distance: 86.6 meters, Time: 62.4 seconds
Name: Calle Miguel Hidalgo y Costilla, Instruction: Turn right onto Calle Miguel Hidalgo y Costilla, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn right, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
