Name: Racecourse Road, Instruction: Head northwest on Racecourse Road, Distance: 409.4 meters, Time: 294.7 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Continue straight, Distance: 560.8 meters, Time: 403.7 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 844.7 meters, Time: 608.2 seconds
Name: -, Instruction: Turn left, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep right, Distance: 21.1 meters, Time: 15.2 seconds
Name: Turf Club Drive, Instruction: Turn left onto Turf Club Drive, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 69.2 meters, Time: 49.8 seconds
Name: William Penn Street, Instruction: Turn right onto William Penn Street, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 71.6 meters, Time: 51.5 seconds
Name: William Penn Street, Instruction: Turn right onto William Penn Street, Distance: 123.0 meters, Time: 88.6 seconds
Name: William Penn Street, Instruction: Turn right onto William Penn Street, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Arrive at William Penn Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
