Name: شارع خلف العبور, Instruction: Head south on شارع خلف العبور, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 127.2 meters, Time: 91.6 seconds
Name: شارع حدائق العبور, Instruction: Turn left onto شارع حدائق العبور, Distance: 445.8 meters, Time: 321.0 seconds
Name: -, Instruction: Turn right, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 70.8 meters, Time: 51.0 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn right onto شارع احسان عبد القدوس, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn right onto شارع احسان عبد القدوس, Distance: 27.1 meters, Time: 19.5 seconds
Name: شارع صلاح سالم الجانبي, Instruction: Turn left onto شارع صلاح سالم الجانبي, Distance: 358.0 meters, Time: 257.7 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: شارع صلاح سالم, Instruction: Turn right onto شارع صلاح سالم, Distance: 60.8 meters, Time: 43.8 seconds
Name: شارع يوسف عباس, Instruction: Turn sharp right onto شارع يوسف عباس, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
