Name: Roebuck Crescent, Instruction: Head southeast on Roebuck Crescent, Distance: 225.9 meters, Time: 162.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 84.1 meters, Time: 60.6 seconds
Name: Captian Cook Drive, Instruction: Turn right onto Captian Cook Drive, Distance: 54.4 meters, Time: 39.2 seconds
Name: Captain Cook Drive, Instruction: Turn left onto Captain Cook Drive, Distance: 26.2 meters, Time: 18.9 seconds
Name: Resolution Avenue, Instruction: Turn right onto Resolution Avenue, Distance: 100.2 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn left, Distance: 312.8 meters, Time: 225.2 seconds
Name: -, Instruction: Turn right, Distance: 90.6 meters, Time: 65.3 seconds
Name: Koomooloo Crescent, Instruction: Turn right onto Koomooloo Crescent, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 233.6 meters, Time: 168.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 141.6 meters, Time: 102.0 seconds
Name: Sidwell Avenue, Instruction: Turn left onto Sidwell Avenue, Distance: 123.1 meters, Time: 88.6 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
