Name: Rue Marius Aufan, Instruction: Head southeast on Rue Marius Aufan, Distance: 224.5 meters, Time: 161.6 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn slight left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: Boulevard de la Somme, Instruction: Turn left onto Boulevard de la Somme, Distance: 60.8 meters, Time: 43.8 seconds
Name: Rue Catulle Mendès, Instruction: Turn right onto Rue Catulle Mendès, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 79.5 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.5 seconds
Name: Allée Arié et Gabriel Sandler, Instruction: Turn right onto Allée Arié et Gabriel Sandler, Distance: 110.0 meters, Time: 79.2 seconds
Name: Allée Myriam Monsonégo, Instruction: Turn left onto Allée Myriam Monsonégo, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Turn left onto Avenue Stéphane Mallarmé, Distance: 70.6 meters, Time: 50.8 seconds
Name: Avenue Paul Adam, Instruction: Keep right onto Avenue Paul Adam, Distance: 165.0 meters, Time: 118.8 seconds
Name: Avenue Gourgaud, Instruction: Keep right onto Avenue Gourgaud, Distance: 10.1 meters, Time: 7.3 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Keep left onto Avenue Stéphane Mallarmé, Distance: 1.8 meters, Time: 1.3 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Keep right onto Avenue Stéphane Mallarmé, Distance: 25.4 meters, Time: 18.3 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Keep right onto Avenue Stéphane Mallarmé, Distance: 22.7 meters, Time: 16.4 seconds
Name: Rue Eugène Flachat, Instruction: Turn right onto Rue Eugène Flachat, Distance: 195.3 meters, Time: 140.6 seconds
Name: Rue Alfred Roll, Instruction: Turn right onto Rue Alfred Roll, Distance: 85.0 meters, Time: 61.2 seconds
Name: Boulevard Pereire, Instruction: Turn left onto Boulevard Pereire, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at Boulevard Pereire, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
