Name: Gracefield Avenue, Instruction: Head east on Gracefield Avenue, Distance: 225.6 meters, Time: 162.4 seconds
Name: Bryn Road, Instruction: Turn right onto Bryn Road, Distance: 191.6 meters, Time: 137.9 seconds
Name: Wyndale Drive, Instruction: Turn left onto Wyndale Drive, Distance: 318.6 meters, Time: 229.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn slight left, Distance: 288.2 meters, Time: 207.5 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 664.2 meters, Time: 478.2 seconds
Name: Caledonia Road, Instruction: Turn right onto Caledonia Road, Distance: 444.2 meters, Time: 319.8 seconds
Name: Lotherton Pathway, Instruction: Turn right onto Lotherton Pathway, Distance: 136.9 meters, Time: 98.6 seconds
Name: -, Instruction: Turn left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
