Name: Inverness Avenue, Instruction: Head southwest on Inverness Avenue, Distance: 122.0 meters, Time: 87.9 seconds
Name: Yarrowdale Road, Instruction: Turn right onto Yarrowdale Road, Distance: 348.5 meters, Time: 250.9 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: Forest Drive Service Road, Instruction: Turn left onto Forest Drive Service Road, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 124.4 meters, Time: 89.6 seconds
Name: -, Instruction: Continue straight, Distance: 398.4 meters, Time: 286.8 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: Princess Path, Instruction: Turn right onto Princess Path, Distance: 4.0 meters, Time: 2.9 seconds
Name: Forest Drive Service Road, Instruction: Turn left onto Forest Drive Service Road, Distance: 702.4 meters, Time: 505.7 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Saint Stephens Road, Instruction: Turn right onto Saint Stephens Road, Distance: 99.5 meters, Time: 71.7 seconds
Name: Forest Drive Service Road, Instruction: Turn left onto Forest Drive Service Road, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Keep right, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn right, Distance: 78.8 meters, Time: 56.7 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
