Name: Avenida Prefeito Dulcídio Cardoso, Instruction: Head west on Avenida Prefeito Dulcídio Cardoso, Distance: 192.3 meters, Time: 138.5 seconds
Name: Avenida Afonso Arinos de Melo Franco, Instruction: Turn sharp right onto Avenida Afonso Arinos de Melo Franco, Distance: 193.2 meters, Time: 139.1 seconds
Name: Avenida Afonso Arinos de Melo Franco, Instruction: Continue straight onto Avenida Afonso Arinos de Melo Franco, Distance: 353.1 meters, Time: 254.2 seconds
Name: Avenida Afonso Arinos de Melo Franco, Instruction: Turn slight right onto Avenida Afonso Arinos de Melo Franco, Distance: 53.3 meters, Time: 38.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 91.0 meters, Time: 65.5 seconds
Name: Avenida das Américas, Instruction: Turn left onto Avenida das Américas, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Keep right, Distance: 111.4 meters, Time: 80.2 seconds
Name: Avenida das Américas, Instruction: Turn slight right onto Avenida das Américas, Distance: 189.3 meters, Time: 136.3 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn left, Distance: 72.9 meters, Time: 52.5 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 28.2 meters, Time: 20.3 seconds
Name: Rua José Leal da Silva, Instruction: Turn right onto Rua José Leal da Silva, Distance: 17.6 meters, Time: 12.7 seconds
Name: Rua José Leal da Silva, Instruction: Turn sharp left onto Rua José Leal da Silva, Distance: 20.4 meters, Time: 14.7 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 464.7 meters, Time: 334.6 seconds
Name: -, Instruction: Turn right, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 210.5 meters, Time: 151.5 seconds
Name: -, Instruction: Keep left, Distance: 20.4 meters, Time: 14.7 seconds
Name: Rua Luiz Bonfá, Instruction: Turn left onto Rua Luiz Bonfá, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
