Name: Rupert Gardens, Instruction: Head west on Rupert Gardens, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 89.1 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: Barrington Road, Instruction: Turn right onto Barrington Road, Distance: 692.5 meters, Time: 498.6 seconds
Name: Hillmead Drive, Instruction: Turn right onto Hillmead Drive, Distance: 122.3 meters, Time: 88.1 seconds
Name: Corry Drive, Instruction: Turn left onto Corry Drive, Distance: 266.1 meters, Time: 191.6 seconds
Name: Somerleyton Road, Instruction: Turn left onto Somerleyton Road, Distance: 11.9 meters, Time: 8.6 seconds
Name: Somerleyton Passage, Instruction: Turn right onto Somerleyton Passage, Distance: 6.9 meters, Time: 5.0 seconds
Name: Somerleyton Passage, Instruction: Turn slight left onto Somerleyton Passage, Distance: 72.5 meters, Time: 52.2 seconds
Name: Bob Marley Way, Instruction: Turn left onto Bob Marley Way, Distance: 7.2 meters, Time: 5.2 seconds
Name: Leeson Road, Instruction: Turn right onto Leeson Road, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn left, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: Effra Parade, Instruction: Turn right onto Effra Parade, Distance: 301.6 meters, Time: 217.1 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 165.2 meters, Time: 118.9 seconds
Name: Arlingford Road, Instruction: Turn left onto Arlingford Road, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Arrive at Arlingford Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
