Name: Vernon Street, Instruction: Head west on Vernon Street, Distance: 53.7 meters, Time: 38.6 seconds
Name: Runnymede Road, Instruction: Turn right onto Runnymede Road, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 248.6 meters, Time: 179.0 seconds
Name: -, Instruction: Keep right, Distance: 114.8 meters, Time: 82.6 seconds
Name: -, Instruction: Keep right, Distance: 110.5 meters, Time: 79.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 162.2 meters, Time: 116.8 seconds
Name: -, Instruction: Keep right, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 167.7 meters, Time: 120.8 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 64.9 seconds
Name: -, Instruction: Keep left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
