Name: Taleeban Road, Instruction: Head east on Taleeban Road, Distance: 5.6 meters, Time: 4.0 seconds
Name: Warraroon Road, Instruction: Turn right onto Warraroon Road, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: Tambourine Track, Instruction: Turn right onto Tambourine Track, Distance: 252.1 meters, Time: 181.5 seconds
Name: Tambourine Track, Instruction: Turn left onto Tambourine Track, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 119.1 meters, Time: 85.7 seconds
Name: -, Instruction: Turn slight right, Distance: 233.3 meters, Time: 167.9 seconds
Name: -, Instruction: Turn left, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn right, Distance: 74.3 meters, Time: 53.5 seconds
Name: Dunois Street, Instruction: Turn left onto Dunois Street, Distance: 10.3 meters, Time: 7.4 seconds
Name: Dunois Street, Instruction: Turn slight left onto Dunois Street, Distance: 476.7 meters, Time: 343.2 seconds
Name: Wilson Lane, Instruction: Turn right onto Wilson Lane, Distance: 85.3 meters, Time: 61.4 seconds
Name: Lucretia Avenue, Instruction: Turn left onto Lucretia Avenue, Distance: 180.6 meters, Time: 130.1 seconds
Name: Lucretia Avenue, Instruction: Turn slight right onto Lucretia Avenue, Distance: 100.1 meters, Time: 72.0 seconds
Name: -, Instruction: Arrive at Lucretia Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
