Name: Dom's Lane, Instruction: Head west on Dom's Lane, Distance: 88.8 meters, Time: 64.0 seconds
Name: Tyrrel Avenue, Instruction: Turn right onto Tyrrel Avenue, Distance: 233.5 meters, Time: 168.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.4 seconds
Name: Winona Drive, Instruction: Turn right onto Winona Drive, Distance: 75.8 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Keep left, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Keep left, Distance: 175.9 meters, Time: 126.6 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Keep left, Distance: 247.6 meters, Time: 178.3 seconds
Name: -, Instruction: Turn right, Distance: 166.5 meters, Time: 119.9 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
