Name: Jurong West Street 41, Instruction: Head west on Jurong West Street 41, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.8 seconds
Name: -, Instruction: Turn slight right, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: Jurong West Avenue 1, Instruction: Turn left onto Jurong West Avenue 1, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 43.3 meters, Time: 31.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
