Name: Frizzell Avenue, Instruction: Head west on Frizzell Avenue, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 79.9 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 183.5 meters, Time: 132.1 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Carlaw Avenue, Instruction: Turn right onto Carlaw Avenue, Distance: 79.0 meters, Time: 56.9 seconds
Name: Withrow Park Trail, Instruction: Turn left onto Withrow Park Trail, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 157.6 meters, Time: 113.5 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
