Name: Landsberger Straße, Instruction: Head east on Landsberger Straße, Distance: 381.5 meters, Time: 274.7 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 266.0 meters, Time: 191.5 seconds
Name: -, Instruction: Keep left, Distance: 224.8 meters, Time: 161.9 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: Friedenheimer Brücke, Instruction: Turn left onto Friedenheimer Brücke, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn slight left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Continue straight, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Continue straight, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Continue straight, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Continue straight, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Continue straight, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn left, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Continue straight, Distance: 200.6 meters, Time: 144.4 seconds
Name: -, Instruction: Keep left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Keep left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: Josef-Obenhin-Straße, Instruction: Continue straight onto Josef-Obenhin-Straße, Distance: 63.9 meters, Time: 46.0 seconds
Name: Schäringerstraße, Instruction: Turn right onto Schäringerstraße, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 392.1 meters, Time: 282.3 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
