Name: Kanoona Street, Instruction: Head north on Kanoona Street, Distance: 384.5 meters, Time: 276.9 seconds
Name: -, Instruction: Turn left, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 267.4 meters, Time: 192.6 seconds
Name: -, Instruction: Turn slight left, Distance: 260.9 meters, Time: 187.8 seconds
Name: Miranda Road, Instruction: Turn right onto Miranda Road, Distance: 377.2 meters, Time: 271.6 seconds
Name: -, Instruction: Turn left, Distance: 386.0 meters, Time: 277.9 seconds
Name: Jackson Avenue, Instruction: Turn right onto Jackson Avenue, Distance: 49.2 meters, Time: 35.4 seconds
Name: Gibbs Street, Instruction: Turn left onto Gibbs Street, Distance: 176.1 meters, Time: 126.8 seconds
Name: Kiora Road, Instruction: Turn right onto Kiora Road, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 141.3 meters, Time: 101.7 seconds
Name: -, Instruction: Turn left, Distance: 276.8 meters, Time: 199.3 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
