Name: Bruce Ferguson Avenue, Instruction: Head north on Bruce Ferguson Avenue, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn slight left, Distance: 683.0 meters, Time: 491.8 seconds
Name: MacDonald Road, Instruction: Turn slight left onto MacDonald Road, Distance: 227.9 meters, Time: 164.1 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 862.6 meters, Time: 621.1 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: Williamson Road, Instruction: Turn left onto Williamson Road, Distance: 73.5 meters, Time: 53.0 seconds
Name: Garner Place, Instruction: Enter the roundabout and take the 1st exit onto Garner Place, Distance: 316.0 meters, Time: 227.5 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
