Name: Cornelia Road, Instruction: Head east on Cornelia Road, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Turn right, Distance: 167.4 meters, Time: 120.5 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn slight left, Distance: 1204.6 meters, Time: 867.3 seconds
Name: -, Instruction: Turn left, Distance: 164.5 meters, Time: 118.5 seconds
Name: -, Instruction: Turn left, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: Civic Avenue, Instruction: Enter the roundabout and take the 1st exit onto Civic Avenue, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 277.5 meters, Time: 199.8 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 65.3 meters, Time: 47.0 seconds
Name: Thorne Avenue, Instruction: Turn right onto Thorne Avenue, Distance: 9.1 meters, Time: 6.5 seconds
Name: Wentworth Avenue, Instruction: Turn left onto Wentworth Avenue, Distance: 145.1 meters, Time: 104.5 seconds
Name: -, Instruction: Arrive at Wentworth Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
