Name: Hazeldean Trail, Instruction: Head southwest on Hazeldean Trail, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Keep right, Distance: 161.6 meters, Time: 116.3 seconds
Name: -, Instruction: Turn right, Distance: 212.1 meters, Time: 152.7 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Keep right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 1203.1 meters, Time: 866.2 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Keep left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 99.0 meters, Time: 71.3 seconds
Name: -, Instruction: Turn left, Distance: 138.4 meters, Time: 99.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
