Name: شارع هدى سلطان, Instruction: Head southwest on شارع هدى سلطان, Distance: 42.1 meters, Time: 30.3 seconds
Name: شارع عمر خورشيد, Instruction: Turn left onto شارع عمر خورشيد, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn slight left, Distance: 254.7 meters, Time: 183.3 seconds
Name: شارع الحريه, Instruction: Turn left onto شارع الحريه, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: شارع الحريه, Instruction: Turn left onto شارع الحريه, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Keep right, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Keep left, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
