Name: Graham Street, Instruction: Head south on Graham Street, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 292.6 meters, Time: 210.7 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight right, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Continue straight, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn right, Distance: 177.7 meters, Time: 127.9 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
