Name: Volkartstraße, Instruction: Head north on Volkartstraße, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 196.0 meters, Time: 141.2 seconds
Name: -, Instruction: Keep right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 256.1 meters, Time: 184.4 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: Rotkreuzplatz, Instruction: Turn right onto Rotkreuzplatz, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn left, Distance: 304.8 meters, Time: 219.4 seconds
Name: -, Instruction: Turn left, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Renatastraße, Instruction: Turn left onto Renatastraße, Distance: 66.2 meters, Time: 47.6 seconds
Name: Schluderstraße, Instruction: Turn right onto Schluderstraße, Distance: 119.6 meters, Time: 86.1 seconds
Name: Schäringerplatz, Instruction: Turn left onto Schäringerplatz, Distance: 24.7 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 60.5 meters, Time: 43.5 seconds
Name: -, Instruction: Turn slight right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
