Name: Surin Avenue, Instruction: Head southwest on Surin Avenue, Distance: 272.2 meters, Time: 196.0 seconds
Name: Kampung Sireh, Instruction: Turn right onto Kampung Sireh, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 247.5 meters, Time: 178.2 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Keep left, Distance: 40.5 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 121.4 meters, Time: 87.4 seconds
Name: -, Instruction: Turn right, Distance: 222.3 meters, Time: 160.1 seconds
Name: -, Instruction: Continue straight, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn slight left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 475.8 meters, Time: 342.5 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 605.1 meters, Time: 435.6 seconds
Name: Daisy Road, Instruction: Turn right onto Daisy Road, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Arrive at Daisy Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
