Name: 下板橋通り, Instruction: Head northwest on 下板橋通り, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn slight left, Distance: 184.0 meters, Time: 132.5 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 58.7 meters, Time: 42.3 seconds
Name: グリーンロード, Instruction: Turn left onto グリーンロード, Distance: 111.2 meters, Time: 80.0 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Keep left, Distance: 62.3 meters, Time: 44.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn right, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
