Name: Leutstettener Straße, Instruction: Head east on Leutstettener Straße, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 176.7 meters, Time: 127.2 seconds
Name: -, Instruction: Turn right, Distance: 272.7 meters, Time: 196.4 seconds
Name: -, Instruction: Turn left, Distance: 157.4 meters, Time: 113.4 seconds
Name: -, Instruction: Turn left, Distance: 273.3 meters, Time: 196.8 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 118.6 meters, Time: 85.4 seconds
Name: -, Instruction: Turn right, Distance: 552.4 meters, Time: 397.7 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: Waakirchner Straße, Instruction: Turn left onto Waakirchner Straße, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Arrive at Waakirchner Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
