Name: Krähenweg, Instruction: Head west on Krähenweg, Distance: 134.7 meters, Time: 97.0 seconds
Name: Krenmoosstraße, Instruction: Turn left onto Krenmoosstraße, Distance: 161.6 meters, Time: 116.4 seconds
Name: Krenmoosstraße, Instruction: Enter the roundabout and take the 2nd exit onto Krenmoosstraße, Distance: 171.6 meters, Time: 123.6 seconds
Name: Krenmoosstraße, Instruction: Enter the roundabout and take the 2nd exit onto Krenmoosstraße, Distance: 433.6 meters, Time: 312.2 seconds
Name: Friedhofsweg, Instruction: Turn left onto Friedhofsweg, Distance: 58.1 meters, Time: 41.9 seconds
Name: Gärtnerweg, Instruction: Turn right onto Gärtnerweg, Distance: 92.5 meters, Time: 66.6 seconds
Name: Rathausstraße, Instruction: Turn left onto Rathausstraße, Distance: 62.5 meters, Time: 45.0 seconds
Name: Wacholderweg, Instruction: Turn right onto Wacholderweg, Distance: 125.9 meters, Time: 90.6 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.8 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
