Name: Avenue Principale, Instruction: Head south on Avenue Principale, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Turn left, Distance: 171.5 meters, Time: 123.5 seconds
Name: -, Instruction: Keep right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 99.1 meters, Time: 71.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 155.4 meters, Time: 111.9 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn slight right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 137.8 meters, Time: 99.2 seconds
Name: -, Instruction: Turn slight left, Distance: 410.6 meters, Time: 295.6 seconds
Name: -, Instruction: Turn right, Distance: 132.3 meters, Time: 95.2 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 182.7 meters, Time: 131.5 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn slight right, Distance: 222.4 meters, Time: 160.1 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 226.0 meters, Time: 162.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
