Name: Pullan Place, Instruction: Head west on Pullan Place, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn right, Distance: 55.6 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 159.9 meters, Time: 115.1 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Turn left, Distance: 449.2 meters, Time: 323.4 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 60.9 meters, Time: 43.8 seconds
Name: -, Instruction: Continue straight, Distance: 205.9 meters, Time: 148.3 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn slight right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: Bremner Boulevard, Instruction: Turn right onto Bremner Boulevard, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at Bremner Boulevard, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
