Name: شارع الفريق عزيز المصرى, Instruction: Head northeast on شارع الفريق عزيز المصرى, Distance: 18.7 meters, Time: 13.5 seconds
Name: شارع صالح جودت, Instruction: Enter the roundabout and take the 2nd exit onto شارع صالح جودت, Distance: 81.9 meters, Time: 58.9 seconds
Name: -, Instruction: Turn left, Distance: 82.1 meters, Time: 59.1 seconds
Name: شارع طاهر أبو فاش, Instruction: Turn right onto شارع طاهر أبو فاش, Distance: 291.6 meters, Time: 209.9 seconds
Name: شارع مدحت عاصم, Instruction: Turn left onto شارع مدحت عاصم, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn right, Distance: 89.6 meters, Time: 64.5 seconds
Name: شارع زكى مبارك, Instruction: Turn right onto شارع زكى مبارك, Distance: 28.2 meters, Time: 20.3 seconds
Name: شارع التسعين الجنوبي, Instruction: Turn slight right onto شارع التسعين الجنوبي, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Keep left, Distance: 48.2 meters, Time: 34.7 seconds
Name: شارع التسعين الجنوبي, Instruction: Turn right onto شارع التسعين الجنوبي, Distance: 208.6 meters, Time: 150.2 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: شارع التسعين الجنوبي الجانبى, Instruction: Turn right onto شارع التسعين الجنوبي الجانبى, Distance: 543.1 meters, Time: 391.0 seconds
Name: شارع التسعين الجنوبي الجانبى, Instruction: Continue straight onto شارع التسعين الجنوبي الجانبى, Distance: 190.7 meters, Time: 137.3 seconds
Name: شارع التسعين الجنوبي, Instruction: Turn slight left onto شارع التسعين الجنوبي, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Keep left, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
