Name: Avenue Henri Ginoux, Instruction: Head northeast on Avenue Henri Ginoux, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 100.2 meters, Time: 72.1 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn slight right, Distance: 104.8 meters, Time: 75.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 258.2 meters, Time: 185.9 seconds
Name: -, Instruction: Turn slight right, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Keep right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight left, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Keep right, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn right, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: Place du 25 Août 1944, Instruction: Turn left onto Place du 25 Août 1944, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at Place du 25 Août 1944, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
