Name: Joseph Banks Terrace, Instruction: Head southwest on Joseph Banks Terrace, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: Nuffield Street, Instruction: Turn left onto Nuffield Street, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn slight right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Mahuru Street, Instruction: Turn right onto Mahuru Street, Distance: 30.8 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 247.4 meters, Time: 178.2 seconds
Name: -, Instruction: Turn slight right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight left, Distance: 575.0 meters, Time: 414.0 seconds
Name: -, Instruction: Turn left, Distance: 102.3 meters, Time: 73.6 seconds
Name: Margot Street, Instruction: Turn right onto Margot Street, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 192.7 meters, Time: 138.8 seconds
Name: -, Instruction: Turn right, Distance: 78.8 meters, Time: 56.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
