Name: Chapel Road, Instruction: Head east on Chapel Road, Distance: 204.4 meters, Time: 147.2 seconds
Name: Main Road, M4, Instruction: Turn right onto Main Road, M4, Distance: 10.4 meters, Time: 7.5 seconds
Name: Upper Ryan Road, Instruction: Turn left onto Upper Ryan Road, Distance: 91.2 meters, Time: 65.7 seconds
Name: -, Instruction: Turn right, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 52.8 meters, Time: 38.0 seconds
Name: Guildford Road, Instruction: Turn right onto Guildford Road, Distance: 353.8 meters, Time: 254.8 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: Liesbeeck River Trail, Instruction: Turn right onto Liesbeeck River Trail, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn slight left, Distance: 63.0 meters, Time: 45.4 seconds
Name: Lower Burg Road, Instruction: Continue straight onto Lower Burg Road, Distance: 312.4 meters, Time: 225.0 seconds
Name: -, Instruction: Turn right, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 172.9 meters, Time: 124.5 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Keep right, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Turn left, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Keep right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
