Name: Adair Road, Instruction: Head west on Adair Road, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 262.2 meters, Time: 188.8 seconds
Name: -, Instruction: Keep left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 264.9 meters, Time: 190.8 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: Westbourne Avenue, Instruction: Turn right onto Westbourne Avenue, Distance: 963.2 meters, Time: 693.5 seconds
Name: Donside Drive, Instruction: Turn left onto Donside Drive, Distance: 87.7 meters, Time: 63.1 seconds
Name: -, Instruction: Turn right, Distance: 148.8 meters, Time: 107.2 seconds
Name: Dolphin Drive, Instruction: Turn left onto Dolphin Drive, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
