Name: Raymond Avenue, Instruction: Head northeast on Raymond Avenue, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 158.2 meters, Time: 113.9 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 322.6 meters, Time: 232.3 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.2 seconds
Name: -, Instruction: Keep right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Armadale Avenue, Instruction: Turn right onto Armadale Avenue, Distance: 6.1 meters, Time: 4.4 seconds
Name: Colbeck Street, Instruction: Turn left onto Colbeck Street, Distance: 43.5 meters, Time: 31.3 seconds
Name: Armadale Avenue, Instruction: Turn right onto Armadale Avenue, Distance: 161.9 meters, Time: 116.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 246.5 meters, Time: 177.5 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 81.7 meters, Time: 58.8 seconds
Name: Willard Avenue, Instruction: Turn right onto Willard Avenue, Distance: 80.0 meters, Time: 57.6 seconds
Name: Ostend Avenue, Instruction: Turn left onto Ostend Avenue, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
