Name: Bridge Road, Instruction: Head north on Bridge Road, Distance: 203.3 meters, Time: 146.4 seconds
Name: Roper Lane, Instruction: Turn slight left onto Roper Lane, Distance: 110.9 meters, Time: 79.9 seconds
Name: Summers Avenue, Instruction: Turn right onto Summers Avenue, Distance: 56.2 meters, Time: 40.4 seconds
Name: -, Instruction: Turn left, Distance: 282.4 meters, Time: 203.3 seconds
Name: -, Instruction: Turn right, Distance: 145.8 meters, Time: 104.9 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Mildred Avenue, Instruction: Turn right onto Mildred Avenue, Distance: 125.2 meters, Time: 90.1 seconds
Name: Mildred Avenue, Instruction: Keep left onto Mildred Avenue, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 696.0 meters, Time: 501.1 seconds
Name: -, Instruction: Turn right, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
