Name: A101, Instruction: Head southwest on A101, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.3 seconds
Name: Jamaica Road, Instruction: Turn right onto Jamaica Road, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight left, Distance: 202.7 meters, Time: 145.9 seconds
Name: -, Instruction: Keep left, Distance: 202.6 meters, Time: 145.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.5 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 86.3 meters, Time: 62.2 seconds
Name: -, Instruction: Turn left, Distance: 133.9 meters, Time: 96.4 seconds
Name: -, Instruction: Turn left, Distance: 169.8 meters, Time: 122.3 seconds
Name: -, Instruction: Turn right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
