Name: John M. Tinsley Street, Instruction: Head north on John M. Tinsley Street, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 378.4 meters, Time: 272.5 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 166.7 meters, Time: 120.0 seconds
Name: -, Instruction: Keep left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Keep left, Distance: 260.8 meters, Time: 187.8 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 97.3 meters, Time: 70.1 seconds
Name: -, Instruction: Keep left, Distance: 200.8 meters, Time: 144.6 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn slight right, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn left, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Turn right, Distance: 54.0 meters, Time: 38.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
