Name: Dépose Minute - Montparnasse 2, Instruction: Head southeast on Dépose Minute - Montparnasse 2, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight right, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: Terrasse Modigliani, Instruction: Turn left onto Terrasse Modigliani, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: Rue du Commandant René Mouchotte, Instruction: Turn left onto Rue du Commandant René Mouchotte, Distance: 215.8 meters, Time: 155.4 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rue du Maine, Instruction: Turn right onto Rue du Maine, Distance: 5.7 meters, Time: 4.1 seconds
Name: Rue de la Gaîté, Instruction: Turn left onto Rue de la Gaîté, Distance: 91.6 meters, Time: 66.0 seconds
Name: Rue Delambre, Instruction: Turn right onto Rue Delambre, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 153.0 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
