Name: Prescott Circuit, Instruction: Head southeast on Prescott Circuit, Distance: 211.9 meters, Time: 152.6 seconds
Name: Aden Street, Instruction: Turn left onto Aden Street, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn right, Distance: 236.7 meters, Time: 170.4 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn slight right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 176.5 meters, Time: 127.1 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: Pye Road, Instruction: Turn right onto Pye Road, Distance: 107.9 meters, Time: 77.7 seconds
Name: Pye Road, Instruction: Keep left onto Pye Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: Corinne Street, Instruction: Enter the roundabout and take the 1st exit onto Corinne Street, Distance: 481.3 meters, Time: 346.5 seconds
Name: Lipari Place, Instruction: Turn right onto Lipari Place, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Arrive at Lipari Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
