Name: Harvard Circuit, Instruction: Head northeast on Harvard Circuit, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: Milford Drive, Instruction: Turn sharp left onto Milford Drive, Distance: 5.7 meters, Time: 4.1 seconds
Name: Mile End Road, Instruction: Turn right onto Mile End Road, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 125.8 meters, Time: 90.5 seconds
Name: -, Instruction: Turn left, Distance: 159.5 meters, Time: 114.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 182.5 meters, Time: 131.4 seconds
Name: -, Instruction: Turn right, Distance: 264.9 meters, Time: 190.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
