Name: Chapel Road, Instruction: Head east on Chapel Road, Distance: 204.4 meters, Time: 147.2 seconds
Name: Main Road, M4, Instruction: Turn right onto Main Road, M4, Distance: 10.4 meters, Time: 7.5 seconds
Name: Upper Ryan Road, Instruction: Turn left onto Upper Ryan Road, Distance: 79.1 meters, Time: 57.0 seconds
Name: Ryan Road, Instruction: Turn left onto Ryan Road, Distance: 58.8 meters, Time: 42.3 seconds
Name: Upper Alma Road, Instruction: Turn right onto Upper Alma Road, Distance: 95.2 meters, Time: 68.5 seconds
Name: Alma Road, Instruction: Turn right onto Alma Road, Distance: 158.7 meters, Time: 114.2 seconds
Name: Alma Road, Instruction: Keep right onto Alma Road, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: Alma Road, Instruction: Turn right onto Alma Road, Distance: 150.9 meters, Time: 108.6 seconds
Name: Cross Road, Instruction: Turn left onto Cross Road, Distance: 76.8 meters, Time: 55.3 seconds
Name: Pillans Road, Instruction: Turn right onto Pillans Road, Distance: 323.4 meters, Time: 232.9 seconds
Name: Pillans Road, Instruction: Turn slight right onto Pillans Road, Distance: 6.3 meters, Time: 4.5 seconds
Name: Campground Road, Instruction: Enter the roundabout and take the 1st exit onto Campground Road, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Campground Road, Instruction: Turn right onto Campground Road, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Keep right, Distance: 27.4 meters, Time: 19.8 seconds
Name: -, Instruction: Keep right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
