Name: Quatar Court, Instruction: Head north on Quatar Court, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 127.9 meters, Time: 92.1 seconds
Name: -, Instruction: Turn left, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 182.9 meters, Time: 131.7 seconds
Name: -, Instruction: Turn left, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Turn right, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
