Name: Victoria Park Avenue, Instruction: Head south on Victoria Park Avenue, Distance: 12.2 meters, Time: 8.8 seconds
Name: Glencrest Boulevard, Instruction: Turn right onto Glencrest Boulevard, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.8 seconds
Name: -, Instruction: Keep left, Distance: 178.4 meters, Time: 128.4 seconds
Name: Glenburn Avenue, Instruction: Turn right onto Glenburn Avenue, Distance: 468.8 meters, Time: 337.5 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: Tiago Avenue, Instruction: Turn left onto Tiago Avenue, Distance: 259.8 meters, Time: 187.0 seconds
Name: Barron Road, Instruction: Turn right onto Barron Road, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 209.6 meters, Time: 150.9 seconds
Name: -, Instruction: Keep right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn slight right, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn slight right, Distance: 746.8 meters, Time: 537.7 seconds
Name: -, Instruction: Turn slight right, Distance: 194.3 meters, Time: 139.9 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
